RET16AE042,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B, AE204,B,HS200,B, EE216,B, AE232,A, AE202,B
RET16AE043,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,O, EC232,O, AE204,O,HS200,O, EE216,A, AE232,O, AE202,A
RET16AE044,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,A, EC232,O, AE204,A+,HS200,B+, EE216,B+, AE232,A, AE202,B
RET16AE045,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,B, EC232,A+, AE204,A,HS200,B, EE216,B, AE232,A, AE202,B+
RET16AE046,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,A, EC232,B, AE204,B,HS200,C, EE216,B, AE232,A, AE202,B
RET16AE047,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A, EC204,B+, EC232,B+, AE204,B+,HS200,B+, EE216,B, AE232,A, AE202,A+
RET16AE048,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B, EC232,A, AE204,B+,HS200,C, EE216,C, AE232,A+, AE202,A
RET16AE049,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B+, AE204,B+,HS200,C, EE216,B+, AE232,O, AE202,A
RET16AE050,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B+, AE204,B+,HS200,B, EE216,B, AE232,O, AE202,B+
RET16AE051,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,F, EC204,B+, EC232,B+, AE204,B+,HS200,C, EE216,F, AE232,B+, AE202,F
RET16AE052,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B, EC232,A, AE204,B+,HS200,B, EE216,B, AE232,O, AE202,B
RET16AE053,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,A, EC232,A+, AE204,O,HS200,A, EE216,A+, AE232,A+, AE202,A+
RET16AE054,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,A, EC232,A, AE204,B+,HS200,C, EE216,B+, AE232,A+, AE202,B
RET16AE055,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B+, EC232,B, AE204,C,HS200,B, EE216,F, AE232,A, AE202,F
RET16EC001,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,C, EC230,C, EC206,F, EC232,B+, EC208,C, MA204,B,HS210,C
RET16EC002,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,B, EC230,B+, EC206,F, EC232,B+, EC208,C, MA204,C,HS210,C
RET16EC003,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,B+, EC230,B+, EC206,A, EC232,B+, EC208,A, MA204,A+,HS210,B
